SYMBOL,COMPANYNAME,SERIES,ISIN NUMBER
AJANTPHARM,Ajanta Pharma Limited,EQ,INE031B01049
AJMERA,Ajmera Realty & Infra India Limited,EQ,INE298G01027
AKSHARCHEM,AksharChem India Limited,EQ,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,EQ,INE523B01011
AKZOINDIA,Akzo Nobel India Limited,EQ,INE133A01011
ALANKIT,Alankit Limited,EQ,INE914E01040
ALBERTDAVD,Albert David Limited,EQ,INE155C01010
ALBK,Allahabad Bank,EQ,INE428A01015
ALCHEM,Alchemist Limited,BE,INE964B01033
ALEMBICLTD,Alembic Limited,EQ,INE426A01027
ALICON,Alicon Castalloy Limited,EQ,INE062D01024
ALKALI,Alkali Metals Limited,EQ,INE773I01017
ALKEM,Alkem Laboratories Limited,EQ,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,INE150B01021
ALLCARGO,Allcargo Logistics Limited,EQ,INE418H01029
ALLSEC,Allsec Technologies Limited,EQ,INE835G01018
ALMONDZ,Almondz Global Securities Limited,EQ,INE326B01027
ALOKTEXT,Alok Industries Limited,BE,INE270A01011
ALPA,Alpa Laboratories Limited,EQ,INE385I01010
ALPHAGEO,Alphageo (India) Limited,EQ,INE137C01018
ALPSINDUS,Alps Industries Limited,BE,INE093B01015
AMARAJABAT,Amara Raja Batteries Limited,EQ,INE885A01032
AMBER,Amber Enterprises India Limited,EQ,INE371P01015
AMBIKCO,Ambika Cotton Mills Limited,EQ,INE540G01014
AMBUJACEM,Ambuja Cements Limited,EQ,INE079A01024
AMDIND,AMD Industries Limited,EQ,INE005I01014
AMJLAND,Amj Land Holdings Limited,EQ,INE606A01024
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,INE098F01031
AMTEKAUTO,Amtek Auto Limited,BZ,INE130C01021
ANANTRAJ,Anant Raj Limited,EQ,INE242C01024
ANDHRABANK,Andhra Bank,EQ,INE434A01013
ANDHRACEMT,Andhra Cements Limited,EQ,INE666E01012
ANDHRSUGAR,The Andhra Sugars Limited,EQ,INE715B01013
ANGIND,ANG Industries Limited,BE,INE017D01010
ANIKINDS,Anik Industries Limited,EQ,INE087B01017
ANKITMETAL,Ankit Metal & Power Limited,BE,INE106I01010
ANSALAPI,Ansal Properties & Infrastructure Limited,EQ,INE436A01026
ANSALHSG,Ansal Housing and Construction Limited,EQ,INE880B01015
ANTGRAPHIC,Antarctica Limited,BE,INE414B01021
APARINDS,Apar Industries Limited,EQ,INE372A01015
APCL,Anjani Portland Cement Limited,EQ,INE071F01012
APCOTEXIND,Apcotex Industries Limited,EQ,INE116A01024
APEX,Apex Frozen Foods Limited,EQ,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,EQ,INE702C01019
APLLTD,Alembic Pharmaceuticals Limited,EQ,INE901L01018
APOLLO,Apollo Micro Systems Limited,EQ,INE713T01010
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,INE437A01024
APOLLOTYRE,Apollo Tyres Limited,EQ,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,INE451F01016
APTECHT,Aptech Limited,EQ,INE266F01018
ARCHIDPLY,Archidply Industries Limited,EQ,INE877I01016
ARCHIES,Archies Limited,EQ,INE731A01020
ARCOTECH,Arcotech Limited,BE,INE574I01035
ARENTERP,Rajdarshan Industries Limited,EQ,INE610C01014
ARIES,Aries Agro Limited,EQ,INE298I01015
ARIHANT,Arihant Foundations & Housing Limited,EQ,INE413D01011
ARIHANTSUP,Arihant Superstructures Limited,EQ,INE643K01018
ARMANFIN,Arman Financial Services Limited,EQ,INE109C01017
AROGRANITE,Aro Granite Industries Limited,EQ,INE210C01013
ARROWGREEN,Arrow Greentech Limited,EQ,INE570D01018
ARROWTEX,Arrow Textiles Limited,EQ,INE933J01015
ARSHIYA,Arshiya Limited,EQ,INE968D01022
ARSSINFRA,ARSS Infrastructure Projects Limited,BE,INE267I01010
ARVIND,Arvind Limited,EQ,INE034A01011
ARVSMART,Arvind SmartSpaces Limited,EQ,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,EQ,INE439A01020
ASAHISONG,Asahi Songwon Colors Limited,EQ,INE228I01012
ASAL,Automotive Stampings and Assemblies Limited,EQ,INE900C01027
ASHAPURMIN,Ashapura Minechem Limited,EQ,INE348A01023
ASHIANA,Ashiana Housing Limited,EQ,INE365D01021
ASHIMASYN,Ashima Limited,EQ,INE440A01010
ASHOKA,Ashoka Buildcon Limited,EQ,INE442H01029
ASHOKLEY,Ashok Leyland Limited,EQ,INE208A01029
ASIANHOTNR,Asian Hotels (North) Limited,EQ,INE363A01022
ASIANPAINT,Asian Paints Limited,EQ,INE021A01026
ASIANTILES,Asian Granito India Limited,EQ,INE022I01019
ASPINWALL,Aspinwall and Company Limited,EQ,INE991I01015
ASSAMCO,Assam Company India Limited,EQ,INE442A01024
ASTEC,Astec LifeSciences Limited,EQ,INE563J01010
ASTERDM,Aster DM Healthcare Limited,EQ,INE914M01019
ASTRAL,Astral Poly Technik Limited,EQ,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,EQ,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,INE203A01020
ASTRON,Astron Paper & Board Mill Limited,EQ,INE646X01014
ATFL,Agro Tech Foods Limited,EQ,INE209A01019
ATLANTA,Atlanta  Limited,EQ,INE285H01022
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BE,INE446A01025
ATUL,Atul Limited,EQ,INE100A01010
ATULAUTO,Atul Auto Limited,EQ,INE951D01028
AUBANK,AU Small Finance Bank Limited,EQ,INE949L01017
AURIONPRO,Aurionpro Solutions Limited,BE,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,EQ,INE406A01037
AUSOMENT,Ausom Enterprise Limited,EQ,INE218C01016
AUTOAXLES,Automotive Axles Limited,EQ,INE449A01011
AUTOIND,Autoline Industries Limited,EQ,INE718H01014
AUTOLITIND,Autolite (India) Limited,EQ,INE448A01013
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,INE349W01017
AVANTIFEED,Avanti Feeds Limited,EQ,INE871C01038
AVTNPL,AVT Natural Products Limited,EQ,INE488D01021
AXISBANK,Axis Bank Limited,EQ,INE238A01034
AXISCADES,AXISCADES Engineering Technologies Limited,EQ,INE555B01013
AYMSYNTEX,AYM Syntex Limited,EQ,INE193B01039
BAFNAPHARM,Bafna Pharmaceuticals Limited,EQ,INE878I01014
BAGFILMS,B.A.G Films and Media Limited,EQ,INE116D01028
BAJAJ-AUTO,Bajaj Auto Limited,EQ,INE917I01010
BAJAJCORP,Bajaj Corp Limited,EQ,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,EQ,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,EQ,INE918I01018
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,INE118A01012
BAJFINANCE,Bajaj Finance Limited,EQ,INE296A01024
BALAJITELE,Balaji Telefilms Limited,EQ,INE794B01026
BALAMINES,Balaji Amines Limited,EQ,INE050E01027
BALAXI,Balaxi Ventures Limited,BE,INE618N01014
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,INE875R01011
BALKRISIND,Balkrishna Industries Limited,EQ,INE787D01026
BALLARPUR,Ballarpur Industries Limited,EQ,INE294A01037
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,INE164A01016
BALPHARMA,Bal Pharma Limited,EQ,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,INE119A01028
BANARBEADS,Banaras Beads Limited,EQ,INE655B01011
BANARISUG,Bannari Amman Sugars Limited,EQ,INE459A01010
BANCOINDIA,Banco Products (I) Limited,EQ,INE213C01025
BANDHANBNK,Bandhan Bank Limited,EQ,INE545U01014
BANG,Bang Overseas Limited,EQ,INE863I01016
BANKBARODA,Bank of Baroda,EQ,INE028A01039
BANKINDIA,Bank of India,EQ,INE084A01016
BANSWRAS,Banswara Syntex Limited,EQ,INE629D01012
BARTRONICS,Bartronics India Limited,EQ,INE855F01034
BASF,BASF India Limited,EQ,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,EQ,INE186H01014
BATAINDIA,Bata India Limited,EQ,INE176A01028
BAYERCROP,Bayer Cropscience Limited,EQ,INE462A01022
BBL,Bharat Bijlee Limited,EQ,INE464A01028
BBTC,Bombay Burmah Trading Corporation Limited,EQ,INE050A01025
BDL,Bharat Dynamics Limited,EQ,INE171Z01018
BEARDSELL,Beardsell Limited,EQ,INE520H01022
BEDMUTHA,Bedmutha Industries Limited,EQ,INE844K01012
BEL,Bharat Electronics Limited,EQ,INE263A01024
BEML,BEML Limited,EQ,INE258A01016
BEPL,Bhansali Engineering Polymers Limited,EQ,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,EQ,INE463A01038
BFINVEST,BF Investment Limited,EQ,INE878K01010
BFUTILITIE,BF Utilities Limited,EQ,INE243D01012
BGLOBAL,Bharatiya Global Infomedia Limited,BE,INE224M01013
BGRENERGY,BGR Energy Systems Limited,EQ,INE661I01014
BHAGERIA,Bhageria Industries Limited,EQ,INE354C01027
BHAGYANGR,Bhagyanagar India Limited,BE,INE458B01036
BHAGYAPROP,Bhagyanagar Properties Limited,EQ,INE363W01018
BHANDARI,Bhandari Hosiery Exports Limited,EQ,INE474E01029
BHARATFIN,Bharat Financial Inclusion Limited,EQ,INE180K01011
BHARATFORG,Bharat Forge Limited,EQ,INE465A01025
BHARATGEAR,Bharat Gears Limited,EQ,INE561C01019
BHARATIDIL,Bharati Defence and Infrastructure Limited,BZ,INE673G01013
BHARATRAS,Bharat Rasayan Limited,EQ,INE838B01013
BHARATWIRE,Bharat Wire Ropes Limited,EQ,INE316L01019
BHARTIARTL,Bharti Airtel Limited,EQ,INE397D01024
BHEL,Bharat Heavy Electricals Limited,EQ,INE257A01026
BHUSANSTL,Bhushan Steel Limited,EQ,INE824B01021
BIGBLOC,Bigbloc Construction Limited,EQ,INE412U01017
BIL,Bhartiya International Limited,EQ,INE828A01016
BILENERGY,Bil Energy Systems Limited,BE,INE607L01029
BILPOWER,Bilpower  Limited,BE,INE952D01018
BINANIIND,Binani Industries Limited,EQ,INE071A01013
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,INE143A01010
BIOCON,Biocon Limited,EQ,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BE,INE829A01014
BIRLACABLE,Birla Cable Limited,EQ,INE800A01015
BIRLACORPN,Birla Corporation Limited,EQ,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,EQ,INE865C01022
BKMINDST,Bkm Industries Limited,EQ,INE831Q01016
BLBLIMITED,BLB Limited,EQ,INE791A01024
BLISSGVS,Bliss GVS Pharma Limited,EQ,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,INE350H01032
BLS,BLS International Services Limited,EQ,INE153T01027
BLUEBLENDS,Blue Blends (I) Limited,EQ,INE113O01014
BLUECHIP,Blue Chip India Limited,BE,INE657B01025
BLUECOAST,Blue Coast Hotels Limited,EQ,INE472B01011
BLUEDART,Blue Dart Express Limited,EQ,INE233B01017
BLUESTARCO,Blue Star Limited,EQ,INE472A01039
BODALCHEM,Bodal Chemicals Limited,EQ,INE338D01028
BOMDYEING,Bombay Dyeing & Mfg Company Limited,BE,INE032A01023
BOROSIL,Borosil Glass Works Limited,EQ,INE666D01022
BOSCHLTD,Bosch Limited,EQ,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,EQ,INE029A01011
BPL,BPL Limited,EQ,INE110A01019
BRFL,Bombay Rayon Fashions Limited,BE,INE589G01011
BRIGADE,Brigade Enterprises Limited,EQ,INE791I01019
BRITANNIA,Britannia Industries Limited,EQ,INE216A01022
BRNL,Bharat Road Network Limited,EQ,INE727S01012
BROOKS,Brooks Laboratories Limited,EQ,INE650L01011
BSE,BSE Limited,EQ,INE118H01025
BSELINFRA,BSEL Infrastructure Realty Limited,EQ,INE395A01016
BSL,BSL Limited,EQ,INE594B01012
BURNPUR,Burnpur Cement Limited,EQ,INE817H01014
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,INE295F01017
BVCL,Barak Valley Cements Limited,BE,INE139I01011
BYKE,The Byke Hospitality Ltd,EQ,INE319B01014
CADILAHC,Cadila Healthcare Limited,EQ,INE010B01027
CALSOFT,California Software Company Limited,BE,INE526B01014
CAMLINFINE,Camlin Fine Sciences Limited,EQ,INE052I01032
CANBK,Canara Bank,EQ,INE476A01014
CANDC,C & C Constructions Limited,EQ,INE874H01015
CANFINHOME,Can Fin Homes Limited,EQ,INE477A01020
CANTABIL,Cantabil Retail India Limited,EQ,INE068L01016
CAPACITE,Capacit'e Infraprojects Limited,EQ,INE264T01014
CAPF,Capital First Limited,EQ,INE688I01017
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,INE475E01026
CAPTRUST,Capital Trust Limited,EQ,INE707C01018
CARBORUNIV,Carborundum Universal Limited,EQ,INE120A01034
CAREERP,Career Point Limited,EQ,INE521J01018
CARERATING,CARE Ratings Limited,EQ,INE752H01013
CASTEXTECH,Castex Technologies Limited,EQ,INE068D01021
CASTROLIND,Castrol India Limited,EQ,INE172A01027
CCCL,Consolidated Construction Consortium Limited,EQ,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,EQ,INE652F01027
CCL,CCL Products (India) Limited,EQ,INE421D01022
CDSL,Central Depository Services (India) Limited,EQ,INE736A01011
CEATLTD,CEAT Limited,EQ,INE482A01020
CEBBCO,Commercial Engineers & Body Builders Co Limited,EQ,INE209L01016
CELEBRITY,Celebrity Fashions Limited,EQ,INE185H01016
CELESTIAL,Celestial Biolabs Limited,EQ,INE221I01017
CENTENKA,Century Enka Limited,EQ,INE485A01015
CENTEXT,Century Extrusions Limited,EQ,INE281A01026
CENTRALBK,Central Bank of India,EQ,INE483A01010
CENTRUM,Centrum Capital Limited,EQ,INE660C01027
CENTUM,Centum Electronics Limited,EQ,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,EQ,INE348B01021
CENTURYTEX,Century Textiles & Industries Limited,EQ,INE055A01016
CERA,Cera Sanitaryware Limited,EQ,INE739E01017
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,INE345B01019
CESC,CESC Limited,EQ,INE486A01013
CGCL,Capri Global Capital Limited,EQ,INE180C01026
CGPOWER,CG Power and Industrial Solutions Limited,EQ,INE067A01029
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,INE085A01013
CHEMFAB,Chemfab Alkalis Limited,EQ,INE783X01023
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,INE178A01016
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,INE121A01016
CHROMATIC,Chromatic India Limited,EQ,INE662C01015
CIGNITITEC,Cigniti Technologies Limited,EQ,INE675C01017
CIMMCO,Cimmco Limited,EQ,INE184C01028
CINELINE,Cineline India Limited,EQ,INE704H01022
CINEVISTA,Cinevista Limited,BE,INE039B01026
CIPLA,Cipla Limited,EQ,INE059A01026
CLEDUCATE,CL Educate Limited,EQ,INE201M01011
CLNINDIA,Clariant Chemicals (India) Limited,EQ,INE492A01029
CMICABLES,CMI Limited,EQ,INE981B01011
CNOVAPETRO,CIL Nova Petrochemicals Limited,EQ,INE672K01025
COALINDIA,Coal India Limited,EQ,INE522F01014
COCHINSHIP,Cochin Shipyard Limited,EQ,INE704P01017
COFFEEDAY,Coffee Day Enterprises Limited,EQ,INE335K01011
COLPAL,Colgate Palmolive (India) Limited,EQ,INE259A01022
COMPINFO,Compuage Infocom Limited,EQ,INE070C01037
COMPUSOFT,Compucom Software Limited,EQ,INE453B01029
CONCOR,Container Corporation of India Limited,EQ,INE111A01025
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,INE025A01027
CONTROLPR,Control Print Limited,EQ,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,EQ,INE558D01021
CORDSCABLE,Cords Cable Industries Limited,EQ,INE792I01017
COROMANDEL,Coromandel International Limited,EQ,INE169A01031
CORPBANK,Corporation Bank,EQ,INE112A01023
COSMOFILMS,Cosmo Films Limited,EQ,INE757A01017
COUNCODOS,Country Condo's Limited,EQ,INE695B01025
COX&KINGS,Cox & Kings Limited,EQ,INE008I01026
CREATIVEYE,Creative Eye Limited,EQ,INE230B01021
CREST,Crest Ventures Limited,EQ,INE559D01011
CRISIL,CRISIL Limited,EQ,INE007A01025
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,INE299U01018
CTE,Cambridge Technology Enterprises Limited,EQ,INE627H01017
CUB,City Union Bank Limited,EQ,INE491A01021
CUBEXTUB,Cubex Tubings Limited,BE,INE144D01012
CUMMINSIND,Cummins India Limited,EQ,INE298A01020
CUPID,Cupid Limited,EQ,INE509F01011
CURATECH,Cura Technologies Limited,BE,INE117B01012
CYBERMEDIA,Cyber Media (India) Limited,EQ,INE278G01037
CYBERTECH,Cybertech Systems And Software Limited,EQ,INE214A01019
CYIENT,Cyient Limited,EQ,INE136B01020
DAAWAT,LT Foods Limited,EQ,INE818H01020
DABUR,Dabur India Limited,EQ,INE016A01026
DALMIABHA,Dalmia Bharat Limited,EQ,INE439L01019
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,INE495A01022
DAMODARIND,Damodar Industries Limited,EQ,INE497D01014
DATAMATICS,Datamatics Global Services Limited,EQ,INE365B01017
DBCORP,D.B.Corp Limited,EQ,INE950I01011
DBL,Dilip Buildcon Limited,EQ,INE917M01012
DBREALTY,D B Realty Limited,EQ,INE879I01012
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,INE921B01025
DCAL,Dishman Carbogen Amcis Limited,EQ,INE385W01011
DCBBANK,DCB Bank Limited,EQ,INE503A01015
DCM,DCM  Limited,EQ,INE498A01018
DCMFINSERV,DCM Financial Services Limited,EQ,INE891B01012
DCMSHRIRAM,DCM Shriram Limited,EQ,INE499A01024
DCW,DCW Limited,EQ,INE500A01029
DECCANCE,Deccan Cements Limited,EQ,INE583C01021
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,INE501A01019
DEEPAKNTR,Deepak Nitrite Limited,EQ,INE288B01029
DEEPIND,Deep Industries Limited,EQ,INE677H01012
DELTACORP,Delta Corp Limited,EQ,INE124G01033
DELTAMAGNT,Delta Magnets Limited,EQ,INE393A01011
DEN,Den Networks Limited,EQ,INE947J01015
DENABANK,Dena Bank,EQ,INE077A01010
DENORA,De Nora India Limited,EQ,INE244A01016
DFMFOODS,DFM Foods Limited,EQ,INE456C01012
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,INE041A01016
DHANBANK,Dhanlaxmi Bank Limited,EQ,INE680A01011
DHANUKA,Dhanuka Agritech Limited,EQ,INE435G01025
DHARSUGAR,Dharani Sugars & Chemicals Limited,EQ,INE988C01014
DHFL,Dewan Housing Finance Corporation Limited,EQ,INE202B01012
DHUNINV,Dhunseri Investments Limited,EQ,INE320L01011
DIAMONDYD,Prataap Snacks Limited,EQ,INE393P01035
DIAPOWER,Diamond Power Infra Ltd,BE,INE989C01012
DICIND,DIC India Limited,EQ,INE303A01010
DIGJAMLTD,Digjam Limited,EQ,INE731U01010
DISHTV,Dish TV India Limited,EQ,INE836F01026
DIVISLAB,Divi's Laboratories Limited,EQ,INE361B01024
DIXON,Dixon Technologies (India) Limited,EQ,INE935N01012
DLF,DLF Limited,EQ,INE271C01023
DLINKINDIA,D-Link (India) Limited,EQ,INE250K01012
DMART,Avenue Supermarts Limited,EQ,INE192R01011
DNAMEDIA,Diligent Media Corporation Limited,EQ,INE016M01021
DOLLAR,Dollar Industries Limited,EQ,INE325C01035
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,EQ,INE920A01011
DONEAR,Donear Industries Limited,EQ,INE668D01028
DPL,Dhunseri Petrochem Limited,EQ,INE477B01010
DPSCLTD,DPSC Limited,EQ,INE360C01024
DQE,DQ Entertainment (International) Limited,EQ,INE656K01010
DREDGECORP,Dredging Corporation of India Limited,EQ,INE506A01018
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,INE089A01023
DSSL,Dynacons Systems & Solutions Limited,EQ,INE417B01040
DTIL,Dhunseri Tea & Industries Limited,EQ,INE341R01014
DUCON,Ducon Infratechnologies Limited,EQ,INE741L01018
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,INE366A01041
DYNAMATECH,Dynamatic Technologies Limited,EQ,INE221B01012
DYNPRO,Dynemic Products Limited,EQ,INE256H01015
EASTSILK,Eastern Silk Industries Limited,EQ,INE962C01027
EASUNREYRL,Easun Reyrolle Limited,BZ,INE268C01029
ECEIND,ECE Industries Limited,EQ,INE588B01014
ECLERX,eClerx Services Limited,EQ,INE738I01010
EDELWEISS,Edelweiss Financial Services Limited,EQ,INE532F01054
EDL,Empee Distilleries Limited,EQ,INE180G01019
EDUCOMP,Educomp Solutions Limited,BZ,INE216H01027
EICHERMOT,Eicher Motors Limited,EQ,INE066A01013
EIDPARRY,EID Parry India Limited,EQ,INE126A01031
EIHAHOTELS,EIH Associated Hotels Limited,EQ,INE276C01014
EIHOTEL,EIH Limited,EQ,INE230A01023
EIMCOELECO,Eimco Elecon (India) Limited,EQ,INE158B01016
EKC,Everest Kanto Cylinder Limited,EQ,INE184H01027
ELAND,E-Land Apparel Limited,EQ,INE311H01018
ELECON,Elecon Engineering Company Limited,EQ,INE205B01023
ELECTCAST,Electrosteel Castings Limited,EQ,INE086A01029
ELECTHERM,Electrotherm (India) Limited,EQ,INE822G01016
ELECTROSL,ELECTROSTEEL STEELS LIMITED,EQ,INE481K01021
ELGIEQUIP,Elgi Equipments Limited,EQ,INE285A01027
ELGIRUBCO,Elgi Rubber Company Limited,EQ,INE819L01012
EMAMIINFRA,Emami Infrastructure Limited,BE,INE778K01012
EMAMILTD,Emami Limited,EQ,INE548C01032
EMCO,Emco Limited,EQ,INE078A01026
EMKAY,Emkay Global Financial Services Limited,EQ,INE296H01011
EMMBI,Emmbi Industries Limited,EQ,INE753K01015
ENDURANCE,Endurance Technologies Limited,EQ,INE913H01037
ENERGYDEV,Energy Development Company Limited,EQ,INE306C01019
ENGINERSIN,Engineers India Limited,EQ,INE510A01028
ENIL,Entertainment Network (India) Limited,EQ,INE265F01028
EON,Eon Electric Limited,EQ,INE076H01025
EQUITAS,Equitas Holdings Limited,EQ,INE988K01017
ERIS,Eris Lifesciences Limited,EQ,INE406M01024
EROSMEDIA,Eros International Media Limited,EQ,INE416L01017
ESABINDIA,Esab India Limited,EQ,INE284A01012
ESCORTS,Escorts Limited,EQ,INE042A01014
ESSARSHPNG,Essar Shipping Limited,EQ,INE122M01019
ESSDEE,Ess Dee Aluminium Limited,EQ,INE825H01017
ESSELPACK,Essel Propack Limited,EQ,INE255A01020
ESTER,Ester Industries Limited,EQ,INE778B01029
EUROCERA,Euro Ceramics Limited,BE,INE649H01011
EUROMULTI,Euro Multivision Limited,BE,INE063J01011
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,INE022C01012
EVEREADY,Eveready Industries India Limited,EQ,INE128A01029
EVERESTIND,Everest Industries Limited,EQ,INE295A01018
EXCEL,Excel Realty N Infra Limited,EQ,INE688J01015
EXCELCROP,Excel Crop Care Limited,EQ,INE223G01017
EXCELINDUS,Excel Industries Limited,EQ,INE369A01029
EXIDEIND,Exide Industries Limited,EQ,INE302A01020
FACT,Fertilizers and Chemicals Travancore Limited,EQ,INE188A01015
FAIRCHEM,Fairchem Speciality Limited,EQ,INE959A01019
FCL,Fineotex Chemical Limited,EQ,INE045J01026
FCONSUMER,Future Consumer Limited,EQ,INE220J01025
FCSSOFT,FCS Software Solutions Limited,EQ,INE512B01022
FDC,FDC Limited,EQ,INE258B01022
FEDDERELEC,Fedders Electric and Engineering Limited,EQ,INE249C01011
FEDERALBNK,The Federal Bank  Limited,EQ,INE171A01029
FEL,Future Enterprises Limited,EQ,INE623B01027
FELDVR,Future Enterprises Limited,EQ,IN9623B01058
FIEMIND,Fiem Industries Limited,EQ,INE737H01014
FILATEX,Filatex India Limited,EQ,INE816B01027
FINCABLES,Finolex Cables Limited,EQ,INE235A01022
FINEORG,Fine Organic Industries Limited,EQ,INE686Y01026
FINPIPE,Finolex Industries Limited,EQ,INE183A01016
FLEXITUFF,Flexituff International Limited,EQ,INE060J01017
FLFL,Future Lifestyle Fashions Limited,EQ,INE452O01016
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,INE529A01010
FMNL,Future Market Networks Limited,EQ,INE360L01017
FORTIS,Fortis Healthcare Limited,EQ,INE061F01013
FOSECOIND,Foseco India Limited,EQ,INE519A01011
FRETAIL,Future Retail Limited,EQ,INE752P01024
